ILI data,,,,
The number of active participant-weeks and the number of ILI onsets for,,,,
each week (Monday-Sunday). See http://www.influenzanet.eu/ for more,,,,
information on the ILI case definitions.,,,,
,,,,
When using these data please attribute it to Influenzanet as follows: ,,,,
"    ""Data Source: Influenzanet (http://www.influenzanet.eu)"" ",,,,
    ,,,,
Date,Participant-weeks,ilif,ilit,ilim
11/2/03,4,,,
11/9/03,304,,,
11/16/03,537,5,0,0
11/23/03,605,3,1,0
11/30/03,679,20,10,9
12/7/03,841,16,8,8
12/14/03,1101,26,17,13
12/21/03,1887,36,15,13
12/28/03,1992,28,16,12
1/4/04,1980,21,8,3
1/11/04,1947,16,4,4
1/18/04,1905,7,1,0
1/25/04,1856,12,4,4
2/1/04,1797,17,8,3
2/8/04,1743,7,2,2
2/15/04,1689,9,3,3
2/22/04,1591,6,1,0
2/29/04,1540,12,5,3
3/7/04,1444,5,0,0
3/14/04,709,6,4,3
3/21/04,565,3,1,0
3/28/04,433,5,,
11/28/04,1166,13,3,3
12/5/04,1342,7,2,1
12/12/04,1398,14,7,6
12/19/04,1432,12,3,3
12/26/04,1441,10,4,3
1/2/05,1557,14,9,8
1/9/05,1625,10,6,4
1/16/05,1644,10,3,3
1/23/05,1632,18,8,6
1/30/05,1626,19,8,8
2/6/05,1617,17,8,8
2/13/05,1606,27,12,9
2/20/05,1600,16,7,6
2/27/05,1591,24,14,12
3/6/05,1576,27,13,13
3/13/05,1557,29,14,11
3/20/05,1537,10,6,6
3/27/05,1516,17,7,5
4/3/05,1495,7,7,6
4/10/05,1465,3,3,2
4/17/05,1431,7,2,2
4/24/05,1394,9,4,2
5/1/05,1218,8,,
5/8/05,119,0,,
5/15/05,19,0,,
5/22/05,5,,,
5/29/05,3,,,
6/5/05,3,,,
6/12/05,3,,,
6/19/05,1,,,
6/26/05,1,,,
7/3/05,1,,,
7/10/05,1,,,
7/17/05,1,,,
7/24/05,1,,,
7/31/05,1,,,
11/13/05,192,,,
11/20/05,5118,46,11,10
11/27/05,8052,85,19,14
12/4/05,8317,87,19,16
12/11/05,8122,67,19,17
12/18/05,7830,77,26,22
12/25/05,7532,61,20,16
1/1/06,7323,45,10,8
1/8/06,7132,65,20,16
1/15/06,6958,42,15,15
1/22/06,6836,52,14,13
1/29/06,6713,49,13,9
2/5/06,6580,67,18,14
2/12/06,6497,83,40,29
2/19/06,6435,58,24,18
2/26/06,6388,69,32,25
3/5/06,6335,66,34,25
3/12/06,6249,68,34,27
3/19/06,6141,61,37,28
3/26/06,6037,50,22,18
4/2/06,5923,29,18,14
4/9/06,5812,34,15,13
4/16/06,5671,17,7,5
4/23/06,5375,20,10,9
4/30/06,2734,4,2,1
5/7/06,157,0,0,0
5/14/06,49,0,0,0
5/21/06,27,0,0,0
5/28/06,15,0,0,0
6/4/06,12,0,0,0
6/11/06,10,0,0,0
6/18/06,9,0,0,0
6/25/06,9,0,0,0
7/2/06,9,0,0,0
7/9/06,9,0,0,0
7/16/06,9,0,0,0
7/23/06,9,0,0,0
7/30/06,9,0,0,0
8/6/06,9,0,0,0
8/13/06,8,,,
8/20/06,8,,,
8/27/06,7,,,
9/3/06,6,,,
9/10/06,6,,,
9/17/06,6,,,
9/24/06,6,,,
10/1/06,6,,,
10/8/06,6,,,
10/15/06,4,,,
10/22/06,4,,,
10/29/06,4,,,
11/5/06,4,,,
11/12/06,3,,,
11/19/06,1,,,
12/10/06,3557,32,7,
12/17/06,5493,32,14,8
12/24/06,5638,40,10,7
12/31/06,5658,49,15,12
1/7/07,5626,40,14,9
1/14/07,5599,36,18,15
1/21/07,5565,28,9,6
1/28/07,5513,53,17,13
2/4/07,5476,69,29,25
2/11/07,5444,110,65,51
2/18/07,5405,137,83,73
2/25/07,5364,73,40,35
3/4/07,5304,49,24,17
3/11/07,5214,33,17,12
3/18/07,5114,36,18,15
3/25/07,4992,27,11,9
4/1/07,4869,20,7,5
4/8/07,4753,25,7,7
4/15/07,4658,14,9,6
4/22/07,4537,9,6,3
4/29/07,4284,6,1,1
5/6/07,1877,2,0,0
5/13/07,138,0,0,0
5/20/07,60,1,1,1
5/27/07,40,0,0,0
6/3/07,29,0,0,0
6/10/07,25,0,0,0
6/17/07,22,0,0,0
6/24/07,22,0,0,0
7/1/07,21,0,0,0
7/8/07,20,0,0,0
7/15/07,19,1,0,0
7/22/07,19,0,0,0
7/29/07,18,0,0,0
8/5/07,18,,,
8/12/07,18,,,
8/19/07,17,,,
8/26/07,16,,,
9/2/07,15,,,
9/9/07,15,,,
9/16/07,12,,,
9/23/07,10,,,
9/30/07,9,,,
10/7/07,5,,,
10/14/07,3,,,
10/28/07,5,,,
11/4/07,1000,,,
11/11/07,5940,49,12,10
11/18/07,6908,53,15,10
11/25/07,6958,46,14,12
12/2/07,6933,58,23,15
12/9/07,6945,59,20,14
12/16/07,6874,53,22,17
12/23/07,6751,56,19,15
12/30/07,6657,58,26,23
1/6/08,6555,57,24,22
1/13/08,6453,49,22,19
1/20/08,6351,46,18,17
1/27/08,6250,46,27,23
2/3/08,6154,47,23,19
2/10/08,6061,36,15,14
2/17/08,5968,57,28,22
2/24/08,5878,51,33,29
3/2/08,5788,54,28,23
3/9/08,5712,40,13,10
3/16/08,5607,43,22,18
3/23/08,5501,34,15,15
3/30/08,5385,23,15,13
4/6/08,5268,24,14,13
4/13/08,5147,26,12,10
4/20/08,4921,23,10,10
4/27/08,3933,16,9,6
10/26/08,4,,,
11/2/08,1930,14,,
11/9/08,4106,17,7,4
11/16/08,4286,25,7,6
11/23/08,4408,21,6,5
11/30/08,4640,28,5,5
12/7/08,4664,23,6,5
12/14/08,4641,22,8,4
12/21/08,4619,29,8,7
12/28/08,4605,22,5,4
1/4/09,4591,37,13,9
1/11/09,4583,42,17,14
1/18/09,4574,79,38,33
1/25/09,4571,70,35,25
2/1/09,4563,69,38,33
2/8/09,4544,56,34,29
2/15/09,4515,46,28,26
2/22/09,4489,21,12,10
3/1/09,4457,25,13,9
3/8/09,4421,20,8,7
3/15/09,4384,16,7,4
3/22/09,4336,22,11,8
3/29/09,4294,16,6,4
4/5/09,4251,6,2,2
4/12/09,4216,10,4,4
4/19/09,4187,9,2,1
4/26/09,4163,10,4,3
5/3/09,4133,11,6,5
5/10/09,4093,14,6,4
5/17/09,4046,6,1,1
5/24/09,4009,9,6,3
5/31/09,3968,7,2,2
6/7/09,3923,6,2,1
6/14/09,3882,8,3,2
6/21/09,3843,4,1,0
6/28/09,3801,1,0,0
7/5/09,3757,4,2,2
7/12/09,3079,4,5,2
7/19/09,3707,6,5,4
7/26/09,3822,7,6,6
8/2/09,3854,6,1,0
8/9/09,3867,3,2,1
8/16/09,3875,5,0,0
8/23/09,3880,4,1,0
8/30/09,3886,7,4,3
9/6/09,3891,19,8,6
9/13/09,3901,17,2,2
9/20/09,3910,13,2,1
9/27/09,3917,10,4,2
10/4/09,3921,10,10,8
10/11/09,3930,3,3,4
10/18/09,3953,5,5,3
10/25/09,3964,19,18,15
11/1/09,3985,27,27,24
11/8/09,4725,19,19,18
11/15/09,5130,19,19,18
11/22/09,5120,14,14,12
11/29/09,5057,12,12,10
12/6/09,4961,11,11,10
12/13/09,4884,8,8,6
12/20/09,4782,10,10,8
12/27/09,4687,7,7,4
1/3/10,4633,8,8,4
1/10/10,4592,10,10,9
1/17/10,4524,9,9,5
1/24/10,4462,10,10,8
1/31/10,4397,12,12,10
2/7/10,4324,9,9,6
2/14/10,4260,16,16,13
2/21/10,4209,5,5,3
2/28/10,4154,8,8,4
3/7/10,4095,5,5,3
3/14/10,4035,3,3,1
3/21/10,3978,4,4,1
3/28/10,3923,5,5,5
4/4/10,3860,2,2,1
4/11/10,3793,4,4,4
4/18/10,3732,6,6,5
4/25/10,3672,2,2,2
5/2/10,3614,4,4,4
5/9/10,3523,4,4,3
5/16/10,3256,2,2,2
5/23/10,2510,,,
5/30/10,462,,,
6/6/10,28,,,
6/13/10,7,,,
11/7/10,1696,,,
11/14/10,3469,7,7,8
11/21/10,3569,3,3,3
11/28/10,3594,5,5,3
12/5/10,3591,1,1,1
12/12/10,3571,9,9,6
12/19/10,3553,5,5,4
12/26/10,3540,8,8,8
1/2/11,3539,15,15,12
1/9/11,3546,17,17,14
1/16/11,3540,8,8,6
1/23/11,3529,13,13,13
1/30/11,3504,9,9,6
2/6/11,3491,11,11,8
2/13/11,3679,13,13,12
2/20/11,3786,9,9,8
2/27/11,3799,10,10,7
3/6/11,3782,7,7,6
3/13/11,3759,7,7,5
3/20/11,3719,4,4,4
3/27/11,3674,7,7,6
4/3/11,3629,7,7,5
4/10/11,3537,7,7,6
4/17/11,3456,5,5,4
4/24/11,3361,3,3,3
5/1/11,3112,2,2,1
5/8/11,1391,,,
5/15/11,81,,,
5/22/11,27,,,
5/29/11,15,,,
6/5/11,11,,,
6/12/11,9,,,
6/19/11,8,,,
6/26/11,6,,,
7/3/11,3,,,
